picture 0, can see 7189 points
picture 1, can see 7718 points
picture 2, can see 7596 points
picture 3, can see 7542 points
picture 4, can see 7372 points
picture 5, can see 7401 points
picture 6, can see 6620 points
picture 7, can see 5869 points
picture 8, can see 6617 points
picture 9, can see 6986 points
picture 10, can see 7289 points
picture 11, can see 7503 points
picture 12, can see 7649 points
picture 13, can see 7667 points
picture 14, can see 7726 points
picture 15, can see 7225 points
picture 16, can see 6411 points
picture 17, can see 5749 points
picture 18, can see 6416 points
picture 19, can see 7025 points
picture 0 and 10, can see the same 1124 points
picture 1 and 11, can see the same 1486 points
picture 2 and 12, can see the same 1471 points
picture 3 and 13, can see the same 1492 points
picture 4 and 14, can see the same 1564 points
picture 5 and 15, can see the same 1376 points
picture 6 and 16, can see the same 1304 points
picture 7 and 17, can see the same 1045 points
picture 8 and 18, can see the same 1167 points
picture 9 and 19, can see the same 1192 points
picture 2 and 6, can see the same 4593 points
picture 2 and 7, can see the same 3149 points
picture 2 and 8, can see the same 2423 points
picture 2 and 9, can see the same 2229 points
